IP地址,端口,TLS,数据中心,地区,国家代码,国家,城市,网络延迟 (ms),下载速度 (MB)
43.203.226.238,40001,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,10.75
43.202.114.221,28015,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,10.74
52.79.174.108,16010,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,10.73
13.124.84.93,45554,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,10.72
3.34.205.157,32770,TRUE,ICN,亚太地区,KR,韩国,首尔,81 ms,10.72
15.164.234.119,49669,TRUE,ICN,亚太地区,KR,韩国,首尔,99 ms,10.70
3.34.27.47,12000,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,10.70
3.36.44.26,28015,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,10.69
43.202.114.221,32771,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,10.66
15.165.10.82,50580,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,10.64
3.36.130.63,14147,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,10.64
3.34.126.26,26214,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,10.61
43.201.86.93,25000,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,10.60
3.34.205.157,20880,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,10.60
43.203.221.104,40213,TRUE,ICN,亚太地区,KR,韩国,首尔,77 ms,10.59
3.36.127.156,27016,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,10.59
3.38.181.156,44158,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,10.57
43.200.6.124,24252,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,10.57
13.125.224.248,12345,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,10.57
3.38.181.156,52869,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,10.56
43.201.49.137,37810,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,10.55
43.203.221.104,19071,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,10.53
43.201.57.57,13666,TRUE,ICN,亚太地区,KR,韩国,首尔,112 ms,10.53
3.34.198.153,25010,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,10.53
13.209.99.217,50111,TRUE,ICN,亚太地区,KR,韩国,首尔,102 ms,10.52
43.202.164.137,32773,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,10.52
3.34.205.157,18000,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,10.52
52.78.42.159,23023,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,10.51
43.201.57.57,32770,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,10.44
43.203.226.238,23424,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,10.43
13.124.153.247,17988,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,10.39
15.164.238.229,28015,TRUE,ICN,亚太地区,KR,韩国,首尔,115 ms,10.38
15.164.238.229,23791,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,10.38
